brand,line,tone,cruelty_free,brl_price,usd_price,eur_price,hex_code,rgb_red,rgb_green,rgb_blue,lab_l,lab_a,lab_b,closest_mst,tone_level
Adversa,Base Líquida Matte Vegana,050,True,21.0,,,#F5C097,245,192,151,81.48281842508403,13.660913402630593,27.930896158628183,5,light
Adversa,Base Líquida Matte Vegana,100,True,21.0,,,#FDD39B,253,211,155,86.9183445127505,7.31372428890853,33.23745312319488,5,light
Adversa,Base Líquida Matte Vegana,150,True,21.0,,,#F2C991,242,201,145,83.282688367163,7.118944510411951,33.407592925046025,5,light
Adversa,Base Líquida Matte Vegana,200,True,21.0,,,#F9C685,249,198,133,83.03237440187348,10.225558191450268,39.37873500075085,5,light
Adversa,Base Líquida Matte Vegana,250,True,21.0,,,#F2C27A,242,194,122,81.21919734534693,8.490119604025015,42.52320579940818,5,light
Adversa,Base Líquida Matte Vegana,300,True,21.0,,,#E5B56F,229,181,111,76.5915027545216,9.066797002396877,42.04920087254072,5,light
Adversa,Base Líquida Matte Vegana,350,True,21.0,,,#E8B676,232,182,118,77.23417462111435,10.38778948406166,39.34390691624235,5,light
Adversa,Base Líquida Matte Vegana,360,True,21.0,,,#F2BA70,242,186,112,79.13770005833148,11.821879127299262,44.97255247346772,5,light
Adversa,Base Líquida Matte Vegana,400,True,21.0,,,#BD763E,189,118,62,56.21323245293013,22.749754465032133,41.72169092501461,6,dark
Adversa,Base Líquida Matte Vegana,450,True,21.0,,,#C4762F,196,118,47,56.97800782443103,24.951612075286626,50.021280743406805,6,dark
Adversa,Base Líquida Matte Vegana,500,True,21.0,,,#B56B30,181,107,48,52.45840643869285,24.629046887746146,44.30228277840017,7,dark
Adversa,Base Líquida Matte Vegana,550,True,21.0,,,#8E3B01,142,59,1,35.7565596308919,32.699400929766114,46.35556898981309,7,dark
Adversa,Base Líquida Matte Vegana,600,True,21.0,,,#661F01,102,31,1,23.0250027176303,30.600696386990617,33.27555378684479,8,dark
Adversa,Base Líquida Matte Vegana,700,True,21.0,,,#632B07,99,43,7,24.94067386614996,23.14781244762587,32.54398789846925,8,dark
Adversa,Base Líquida Matte Vegana,800,True,21.0,,,#3D0902,61,9,2,10.499007043588383,24.578742812387063,15.520363208550783,10,dark
